regex,nl
((.*)(dog.*truck.*))*,Items terminating with 'dog' preceding 'truck'.
((dog)|(truck))+,lines with the string 'dog' or the string 'truck' at least once in them
((.*)((dog)|([A-Za-z])))+,lines ending with 1 or more of the string 'dog'
~((dog)|([a-z])),Lines not having string 'dog' or a lower case letter
\b([A-Za-z]).*(~([0-9])).*\b,lines with words and a letter before a non number
(dog).*(~((truck)&(ring))).*,lines with string 'dog' before not string 'truck' and not the string 'ring'
((dog)|([A-Z])).*(~(.)).*,lines with a capital letter before string 'dog' not a character
((.)|([a-z])).*((.*)(dog)).*,lines with a character or lower-case letter ending in string 'dog'
((.)|([a-z])).*((.*)(dog)).*,lines with a characters or a lower-case letter before the string 'dog;
\b(dog)|(truck)|([a-z])\b,"Lines with ""dog"", ""truck"" or a small letter"
~((.*dog.*)|([a-z])),lines that doesn't have 'dog' or lower-case letters
~(([a-z])|(dog)|(truck)),"lines without a lower-case letter, the string 'dog' or 'truck'"
(.*..*)&(([0-9])+),Lines which include one or more instances of a character and a number.
~(([a-z])|((dog)(.*))),lines without a lower-case letter or starting in string 'dog'
([A-Za-z]).*((dog)&([0-9])&(truck)).*,"Items with a letter preceding a numeral, 'truck', and a numeral."
([A-Za-z]).*((dog)&([0-9])&(truck)).*,"lines containing a letter followed by the string 'dog', a number, as well as the string 'truck'"
dog,only the string 'dog' in the lines
\b[AEIOUaeiou].*dog.*\b,lines with words and a vowel before the string 'dog'
"(.).*((dog){3,}).*",lines with 3 or more of a character before the string 'dog'
(([a-z])&([A-Z])&([0-9])).*(.).*,"lines with a lower-case letter, capital letter, and number before a character"
.*([A-Z])&(dog).*,lines with the string 'dog' and a capital letter
([a-z].*dog.*)&((truck)(.*)),Likes with a lower case letter followed by the string 'dog' and beginning with 'truck'
"([A-Z].*[A-Za-z].*){3,}",lines with 3 or more of a capital letter before a letter
\b~((dog).*([a-z]).*)\b,Lines with words that don't have the sting 'dog' before a lower case letter
~((.)|([AEIOUaeiou])|([0-9])),"lines that don't have a character, a vowel, or a number"
(~([0-9])).*([A-Z]).*,lines which are not having a number before a capital letter
"(.*([a-z]).*([AEIOUaeiou]).*.*){3,}",lines with 3 or more or a lower-case letter before vowel
\b([A-Za-z])&(dog)&([A-Z])\b,"lines containing a letter, the string 'dog', and a capital letter"
\b(([A-Z])|([AEIOUaeiou])|(dog))|(truck)\b,"lines containing string 'dog', string 'truck', a vowel or a capital letter"
"(.*)(([0-9]){5,})",lines ending in a number 5 times or greater
([a-z]).*([AEIOUaeiou]).*,lines with a lowercase letter followed by a vowel
([A-Za-z]).*((dog)&(truck)).*,lines having a letter before the strings 'dog' and 'truck'
"(([AEIOUaeiou]){7,}).*([A-Za-z]).*",Items with a vowel at least seven time preceding a letter.
.*(.*)([A-Z]).*,lines that end with a capital letter
(dog.*[a-z].*)(.*),lines leading off with the 'dog' string and then a small letter
\b(dog)&(.)&(truck)\b,"lines with words with the string 'dog', a character, and the string 'truck' in them"
"([A-Z]).*((dog){2,}).*","lines with a capital letter, appearing at least twice, before the string 'dog'"
"((dog){3,})|(~([AEIOUaeiou]))","lines with string 'dog', 3 or more times or not vowel"
([a-z]).*((.)|([AEIOUaeiou])|(dog)).*,"lines with lower-case letter before either character, vowel, or string 'dog'"
\b~(([A-Za-z])|([AEIOUaeiou])|(dog))\b,"lines with words that don't have a letter, vowel, or string 'dog'"
((dog)|([A-Z])|(.)).*(truck).*,"lines which are having either the string 'dog', a capital letter, or a character before the string 'truck'"
((dog)(.*))&(truck.*[A-Z].*),lines that begin with the strings 'dog' and 'truck' followed by a capital letter
(\b~(dog)\b)(.*),lines which are starting with words with not the string 'dog
(\b~(dog)\b)(.*),lines starting in words without string 'dog'
.*((.)*).*(dog).*.*,lines with zero or more characters before string 'dog'
"((.)|([A-Z])){7,}","lines that contain a character or a capital letter, at least 7 times"
(.*)(\b(.)&([A-Za-z])\b),lines ending in words with a character and letter
([A-Za-z]).*([AEIOUaeiou]).*,lines with a letter preceding a vowel
.*([A-Z])|(dog)|(truck).*,"lines with a capital letter, the string ""dog"" or the string ""truck"""
([AEIOUaeiou]).*(([0-9])*).*,Items with a vowel preceding a numeral.
(([0-9]).*([A-Z]).*)|(([a-z])|(dog)|(truck)),lines with a number
(dog).*(~([AEIOUaeiou])).*,lines having the string 'dog' before anything that is not a vowel
(\b([A-Za-z])&([A-Z])\b)*,"Lines with words with letter and capital letter, zero or more times"
~(([a-z])&([AEIOUaeiou])),lines without a lower-case letter and not a vowel
.*(dog)|((.*)(truck)).*,lines with the string 'dog' or ending in string 'truck'
.*\b(.*)([AEIOUaeiou])\b.*,lines with words ending with a vowel
(.*)(([a-z])|([A-Za-z])),lines ending with lower-case letter or letter
((dog)(.*))|((truck)&([A-Z])),lines with either the string 'dog' or 'truck' and any capital letter
"((.*)((dog){5,})).*([A-Za-z]).*","lines ending with string 'dog', 5 or more times before letter"
"(([AEIOUaeiou]){4,}).*(dog).*",lines with 4 or more vowels before string 'dog'
\b~(([AEIOUaeiou])(.*))\b,lines where no words start with a vowel
"(\b(.)&([a-z])\b){3,}",lines with words with 3 or more of a character and lower-case letter
(([A-Za-z])(.*))&((dog)|(truck)),lines starting in a letter and string 'dog' or 'truck'
((dog)&([AEIOUaeiou])&(truck)).*([0-9]).*,lines where a vowel and the strings 'dog' and 'truck' appear before a number
([0-9]).*((.*)([AEIOUaeiou])).*,Items with a numeral preceding terminating vowel.
~((.)&([A-Z])&([AEIOUaeiou])),"lines not having character, a capital letter, and not a vowel"
([A-Z]).*((dog)|(truck)|(ring)).*,"Items with an upper case letter preceding 'truck', 'dog', or 'ring'."
"(~([a-z]))|((dog){5,})",lines with less than 5 lower-case letters or the strings 'dog'
"(([AEIOUaeiou])|(dog)){4,}",The lines containing either a vowel or the string 'dog' repeated four or more times
"((.*)(dog)){2,}","lines ending with only string 'dog', 2 or more times"
.*([a-z]).*(([AEIOUaeiou])*).*.*,lines with zero or more of a lower-case letter before a vowel
"\b((dog){5,})&([A-Za-z])\b",lines with words with the string 'dog' at least 5 times a long with a letter
~(((.*)([A-Za-z]))+),lines not ending in a letter
([a-z]).*(([AEIOUaeiou])|(dog)|([A-Z])).*,"lines with a lower-case letter before a vowel, string 'dog', or capital letter"
([0-9]).*((.)|(dog)|([A-Z])).*,"lines with a number, a character, the string 'dog' and a capital letter"
.*~(([AEIOUaeiou])&(dog)).*,Lines that don't contain a vowel or the string 'dog'
([A-Z]).*(..*[0-9].*).*,lines with a capital letter before character then number
\b([A-Z])|([AEIOUaeiou])|(dog)\b,"lines containing words having either a capital letter, a vowel, or the string 'dog'"
((.*)([A-Z]))&(dog.*[A-Za-z].*),lines ending in capital letter and string 'dog' before letter
"(([a-z])|([0-9])){5,}",lines with 5 or more lower-case letters or numbers
(.*)(([A-Za-z])|([0-9])),lines that end with a letter or number
(([0-9])|([AEIOUaeiou]))(.*),Lines starting with a number or a vowel
"(([A-Z]){5,}).*([AEIOUaeiou]).*","lines with a capital letter, 5 or more times before a vowel in them"
"((dog)|([A-Za-z])){6,}","lines with string 'dog' or letter, 6 or more times"
((.)(.*))|(.*dog.*),lines stating with a character or having the string 'dog'
\b(dog.*truck.*)(.*)\b,lines with words starting with string 'dog' followed by string 'truck'
(([0-9].*[A-Z].*)*)(.*),"The line start with a number following a capital letter, zero or more times."
((dog)&([A-Za-z])&([AEIOUaeiou])).*([A-Z]).*,"lines with 'dog', a letter, and a vowel before a capital letter"
~(([a-z])+),Lines without a lower case letter at least 1 time
"(([A-Za-z])(.*))|((.){5,})",lines containing a letter or 5 or more characters
(([A-Z]).*(dog).*)|(([0-9])+),lines with a capital letter before string 'dog' or number
.*([0-9])&([a-z])&([A-Za-z]).*,"lines having a number, a lower-case letter and a letter"
(dog).*((truck)+).*,lines with string 'dog' before only 1 or more of string 'truck'
"(((dog)|([A-Za-z])){7,})(.*)","lines beginning with the string 'dog' or a letter, 7 times or more"
\b([A-Za-z])*\b,"lines with words, letter, zero, more times"
(([AEIOUaeiou])|([A-Za-z]))+,Lies with a letter at least once with a vowel.
((dog).*([AEIOUaeiou]).*)|([A-Za-z].*[A-Z].*),"lines with the string 'dog' followed by a vowel or a letter, then by a capital letter"
(.*)(([A-Z])|([AEIOUaeiou])),lines that end with either a vowel or a capital letter
(..*[A-Z].*)&(([0-9])+),"lines that have a character preceding a capital letter and a number, one or more times"
\b(dog)&(([0-9]).*([A-Z]).*)\b,lines with words with string 'dog' and number before capital letter
~((([A-Za-z]).*([0-9]).*)&([AEIOUaeiou])),lines without a letter before a number and no vowels
\b(dog)|([0-9])|(.)\b,"lines with words that contain the string 'dog', a number, or a character"
"([0-9].*[A-Z].*){7,}","lines containing a number before a capital letter, 7 times or more"
(([a-z])|([A-Z])|(dog)).*(truck).*,"Lines with a lower-case letter, capital letter, or 'dog' before 'truck'"
((.*)([a-z])).*([A-Z]).*,lines that end with a lower-case letter followed by a capital letter
([A-Za-z]).*((.)&([A-Z])).*,Items with a letter preceding a character and uppercase letter.
([A-Za-z]).*((dog)&([a-z])).*,lines a letter before the string 'dog' and a lower case letter
~(([A-Za-z])|([0-9])|(dog)),"does not have a letter, a number, or 'dog'"
.*(dog)&(truck)&([0-9]).*,"lines that have the string 'truck', the string 'dog', and a number"
"([a-z]).*((dog.*truck.*){4,}).*",lines with a lower-case letter before the string 'dog' then 4 or more of the string 'truck'
\b((.*)([A-Z])).*(dog).*\b,lines containing words ending with a capital letter followed by the string 'dog'
.*(dog)&(([A-Z])|([A-Za-z])).*,lines with the 'dog' string and also a letter or an upper-case letter
\b([A-Za-z])&(.)&(dog)\b,"lines with words and a letter, character, and string 'dog'"
(([A-Z])+)|(([A-Za-z])(.*)),lines beginning with a letter or containing a capital letter
([0-9]).*(..*[A-Z].*).*,lines with a number followed by a character followed by a capital letter
(.*[0-9].*)*,"line that contains only numbers, can occur zero or more times."
"((dog)|([AEIOUaeiou])){7,}",lines with the string 'dog' or a vowel at least 7 times
([A-Za-z].*[a-z].*).*(.).*,lines with a letter before a lower-case letter then character
\b((.)|(dog)|(truck))&([A-Za-z])\b,lines with words and a character or string 'dog' or 'truck' and a letter
(~([0-9]))&(([AEIOUaeiou])|(dog)),"lines without a number, a vowel or the string 'dog'"
([A-Za-z].*..*)*,lines followed zero or more characters
[A-Z].*[a-z].*,"lines and a capital letter, and after, a lower-case letter"
\b([A-Za-z])|(dog)|([AEIOUaeiou])\b,"lines that have words containing a letter, a 'dog' string, or a vowel"
~(([0-9])|((.*)(dog))),lines without a number in them or that end with the 'dog' string
(.).*((dog)&([a-z])&(truck)).*,lines with a character before the string 'dog' and 'truck' and lower-case letter
"\b([AEIOUaeiou]){4,}\b",lines with words and 4 or more vowels
((dog)*)|(.*..*),"Lines containing the string 'dog' , zero or more times with a character."
"((~(dog))|(.)){6,}","lines not having string 'dog' or character, 6 or more times"
(([AEIOUaeiou])|(~([A-Z])))+,lines with a vowel or without a capital letter
([a-z]).*([AEIOUaeiou].*..*).*,lines with a lower-case letter before vowel followed by character
~([AEIOUaeiou].*[A-Z].*),lines not having a vowel followed by a capital letter in them
.*(dog).*(~(.)).*.*,lines with the string 'dog' before non character
((dog)+).*(~([a-z])).*,lines with the string 'dog' before non lower-case letter
(..*[AEIOUaeiou].*).*([a-z]).*,lines with characters before a vowel then lower-case letter
(([A-Za-z])(.*))&(~(.)),lines which are starting with a letter and not a character
\b([0-9])&([A-Za-z])&([a-z])\b,"lines with a lower-case letter, a number, and a letter"
([a-z]).*([A-Z]).*,lines containing a lower-case letter followed by a capital letter
(([a-z])*).*([AEIOUaeiou]).*,Items with a small letter preceding a vowel.
\b.*([A-Za-z])|(dog).*\b,Items with words containing 'dog'.
(.*([A-Za-z]).*(dog).*.*)*,lines with a letter before zero or more of the string 'dog'
(.*[A-Za-z].*).*(.).*,lines with a letter before a character
(\b(dog)|([a-z])|(truck)\b)*,"lines with words which are  either the string 'dog', a lower-case letter, or the string 'truck', zero or more times"
\b~((.*)([A-Z]))\b,Lines that don't end with captial letter words
([a-z]).*((dog)&([0-9])&(truck)).*,"lines containing a number, the string 'truck' and a lower case letter before string 'dog'"
"~(.*(.){3,}.*)",lines with less than 3 characters
"([AEIOUaeiou]).*((.){7,}).*","lines with vowel before character, 7 or more times"
(dog).*([A-Z].*[A-Za-z].*).*,lines with the string 'dog' before capital letter then a letter
"(([A-Z]){7,}).*(.).*","lines with a capital, 7 or more times before character"
(([A-Za-z])|(.))*,lines with zero or more of a letter or character
"(([0-9]){3,})&([A-Za-z].*[AEIOUaeiou].*)",lines that contain a letter followed by a vowel or contain a number at least 3 times
".*((dog)|([a-z])){2,}.*","lines wiht the string 'dog' or a lower-case letter, twice or more times"
"([A-Z]).*(([0-9]){6,}).*",lines with 6 or more of a capital letter before a number
"~((dog){2,})",The lines that do not contain the string 'dog' repeated 2 or more times
(([a-z])&([A-Za-z])).*(dog).*,lines with a lower-case letter and the string 'dog' after a letter
"(dog).*(([a-z]){3,}).*",lines with the string 'dog' before 3 or more lower-case letters
(([AEIOUaeiou])(.*)).*(([A-Z])*).*,"lines starting with a vowel before a capital, zero or more times"
(dog).*(~(([AEIOUaeiou])+)).*,lines with the string 'dog' before a vowel
((.*)([0-9])).*((.)+).*,Lines ending with a number before a character at least of one time
~(\b(dog)&([A-Za-z])\b),lines without words with string 'dog' without a letter
~(\b(dog)&([A-Za-z])\b),lines without 'dog or a letter
(([AEIOUaeiou])+)&(~([A-Z])),lines with a vowel without a capital letter
\b(([a-z])*)|([A-Za-z])\b,lines with a lower-case letter zero times
"(([A-Z].*dog.*){4,}).*([0-9]).*",lines with 4 or more of a capital letter before string 'dog' before having a number
([A-Z]).*((dog)|([a-z])).*,lines with a capital letter before string 'dog' or lower-case letter
\b(([A-Za-z])*).*(dog).*\b,lines containing words with or without a letter followed by the string 'dog'
~(([A-Z])&(dog)&([AEIOUaeiou])),"lines without a capital letter, string 'dog', or vowel"
(~(dog)).*(.).*,lines without the string 'dog' before a character
~(([AEIOUaeiou]).*(dog).*),Lines without a vowel before the string 'dog'
"([AEIOUaeiou].*[A-Za-z].*){3,}",Items with a vowel preceding a letter at least thrice.
"~(([A-Za-z]){4,})",lines which do not contain a letter 4 or more times
\b[A-Za-z].*[a-z].*\b,lines containing words and a letter and a small letter subsequent to that
"(([A-Z]){6,}).*([AEIOUaeiou]).*","lines with capital letter, 6 or more times before vowel"
~((([a-z])(.*))|([A-Z])),lines without a lower-case or capital letter at the beginning
(dog).*(~((truck)&([0-9]))).*,Items with
(dog).*(~((truck)&([0-9]))).*,lines with the string 'dog' before non string 'truck' or number
.*~(([a-z])*).*,"lines not containing lower-case letter, zero or more times"
\b([A-Za-z])+\b,lines with words that contain only a letter
"(([A-Za-z]){2,})|(dog.*truck.*)","lines with letter, 2 or more times or string 'dog' followed by string 'truck'"
((.*)(([A-Za-z])|(dog))).*(.).*,lines ending with a letter or string 'dog' before a character
\b(([AEIOUaeiou]).*(dog).*)|([a-z])\b,lines with words that have a vowel before the word 'dog' or a lower-case letter
.*(dog)|(~([A-Za-z])).*,lines with the string 'dog' without a letter
((dog)|([AEIOUaeiou])|(.)).*([A-Za-z]).*,"lines with the string 'dog', vowel or character before a letter"
(([0-9])*)|((.*)(.)),lines with zero or more numbers or ending in character
(.*)(\b([AEIOUaeiou])+\b),lines ending in words with vowel
"(.).*(([0-9]){6,}).*","lines containing a character followed by a number, 6 or more times"
((dog)&([AEIOUaeiou])&(truck)).*([A-Za-z]).*,"lines containing the string ""dog"", a vowel, and the string ""truck"" followed by a letter"
(dog.*truck.*).*([AEIOUaeiou]).*,Items with 'dog' preceding 'truck' preceding a vowel.
(.*[A-Za-z].*)*,lines containing a letter at least zero times
"([0-9]).*(([AEIOUaeiou]){3,}).*","lines with number before vowel, 3 or more times"
([A-Z]).*((.)|([0-9])).*,lines with characters or numbers before a capital letter
~(([a-z])&([AEIOUaeiou])&(.)),"lines not having lower-case letter, not a vowel, and not a character"
([A-Z].*[0-9].*).*([AEIOUaeiou]).*,lines with a vowel capital letter followed by a number
~(([a-z])|(.)|([A-Za-z])),"lines without a lower-case letter,or a character"
\b(.*)([a-z])\b,lines that end a lower-case letter
(([0-9])*).*((dog)&([a-z])).*,"lines with a number, zero or more times before the string 'dog' and a lower-case letter in it"
((.*)(.)).*((dog)&([a-z])).*,lines with a character before string 'dog' and lower-case letter
((dog)&([A-Z])&([a-z])).*([0-9]).*,"lines with the string 'dog', capital letter, and lower-case letter before number"
.*([a-z])|([0-9])|([A-Z]).*,"lines that contain a lower-case letter, a number, or a capital letter"
(dog).*(~((truck)(.*))).*,lines containing string 'dog' before and that does not start with 'truck'
([A-Za-z])*,lines containing no letters or more than one letter
~((dog)&(truck)&([AEIOUaeiou])),lines not having 'dog' or 'truck' and not a vowel
.*([a-z])|([A-Z])|([A-Za-z]).*,Items with any letter.
(([AEIOUaeiou])|([A-Za-z])|(dog)).*(.).*,"before a character your lines should have a vowel, a letter, or 'dog' string"
([A-Z]).*(([AEIOUaeiou])*).*,"no minimum, a capital letter before any vowel in lines"
.*([AEIOUaeiou])|(dog)|([A-Z]).*,"lines containing either a vowel, string 'dog', or capital"
([AEIOUaeiou]).*((dog)&([A-Z])).*,lines with the string 'dog' and a capital letter after a vowel
(.*dog.*)&((truck)+),lines with the strings 'dog' and 'truck'
~(((.*)([A-Z]))+),lines not ending with a capital letter
\b(dog)|([0-9])\b,lines with words with string 'dog' or number
".*((dog)|(.)){4,}.*",Lines having the string 'dog' or characters at least 4 times
~(((.*)(dog)).*([AEIOUaeiou]).*),lines that do not end with the string 'dog' followed by a vowel
((dog)*)&((.)&(truck)&([a-z])),"lines that contain a characer, the string 'truck' and a lower-case letter, but do not contain the string 'dog'"
(\b([A-Z])&(dog)&(truck)\b)*,lines with words and zero or more of a capital letter and string 'dog' and 'truck'
(([0-9])(.*)).*(~([AEIOUaeiou])).*,lines starting in number before non vowel
\b((.)+)&(dog)\b,lines with words with a character and string 'dog'
\b((.*)([a-z])).*(dog).*\b,lines with words that end with a lower-case letter followed by the string 'dog'
~((..*[A-Za-z].*)*),lines without zero or more of a character before a letter
(dog.*[AEIOUaeiou].*)*,"Lines with string 'dog' followed by vowel, at least zero times."
(([0-9])|(dog))+,lines with at least one number or the string 'dog'
(.).*((dog)&([0-9])&([A-Za-z])).*,"character before 'dog', a number, and a letter"
([AEIOUaeiou]).*([A-Za-z].*[a-z].*).*,Items with a vowel preceding a letter preceding a small letter.
([A-Za-z]).*((dog)|([0-9])).*,lines containing letter before the string 'dog' or a number
([AEIOUaeiou]).*((.)+).*,lines with a vowel before a character
(dog).*(~([A-Z])).*,lines with the string 'dog' before a small letter
"(dog).*(\b([A-Z]){6,}\b).*","lines with the string 'dog' before words, a capital letter, 6 or more times"
"(\b~([A-Z])\b){6,}","lines with words that don't have a capital, 6 or more times"
((.*)([A-Z])).*(~(dog)).*,lines ending in a capital letter before the string 'dog'
(([A-Z])&([AEIOUaeiou])&([0-9])).*([A-Za-z]).*,"lines having a capital letter, a vowel and a number"
([a-z].*[AEIOUaeiou].*)+,lines with a lower-case letter followed by a vowel at least once in them
"((~(dog))|([a-z])){4,}",lines that don't contain a lower-case letter or the string 'dog' four times or more
~(([a-z])&([0-9])),Multiple lines that do not a have number but contain a lower-case letter
"(.*)(([A-Z]){3,})",lines ending with 3 or more capital letters
(([A-Z])|(.)).*(dog).*,lines where the string 'dog' has a character or a capital letter in front of it.
~((dog)|([AEIOUaeiou])|([0-9])),"Items without 'dog', vowel, or a numeral."
((dog)|(truck)|(.)).*([A-Za-z]).*,"lines with the string 'dog', string 'truck', or a character before a letter"
\bdog.*..*\b,lines containing the string 'dog' preceding a character
"((dog)|(.)){4,}",lines the contain either a character or a 'dog' string at least four times
"([A-Za-z].*[A-Z].*){5,}",lines with a letter followed by 5 capital letters
((dog)&([a-z])&(truck)).*([A-Z]).*,"lines having 'dog', a lower-case, and 'truck'"
\b~([A-Za-z].*dog.*)\b,lines with words that don't have a letter followed by string 'dog'
"~((([A-Z]){3,})|(dog))","lines without a capital letter, 3 or more times or the string 'dog'"
"~((([A-Z]){3,})|(dog))","lines whiich are not having a capital letter, 3 or more times or the string 'dog"
.*([AEIOUaeiou])&((dog)(.*)).*,lines with a vowel and starting in string 'dog'
\b(.*)(dog)\b,lines with words with ending which are containing only the string 'dog'
~((([0-9])*).*(.).*),"lines without number, zero or more times before character"
"((.)|([0-9])){5,}",lines with a character or number at least 5 times
"((dog){5,}).*([A-Za-z]).*",lines having the string 'dog' at least five times before a letter appears
\b([AEIOUaeiou])|([A-Z])|(dog)\b,"lines that have words containing either the string 'dog', a capital letter, or a vowel"
(.*)((.)*),Lines ending with a character at least zero times
"\b(.){3,}\b",lines containing words with a character at least 3 times
"(\b([A-Za-z]){3,}\b)(.*)","lines starting with words with letter, 3 or more times"
.*([A-Za-z])|([AEIOUaeiou])|(dog).*,"lines containing either letter, vowel, or string 'dog'"
(.*dog.*)|((truck).*(ring).*),lines containing 'dog' or 'truck' before 'ring'
(dog).*(([a-z])|([AEIOUaeiou])).*,lines which contain the string 'dog' before a vowel or lower-case letter
.*([a-z])&([0-9])&(dog).*,"lines that include a number, the string 'dog' and a lower-case letter"
((dog)&([A-Za-z])&(truck)).*([0-9]).*,"Items with 'truck', a letter, and 'dog' preceding a numeral."
(([0-9])|([a-z])).*([A-Z]).*,Items with a numeral or any letter.
"(dog.*[0-9].*){5,}","lines with the string 'dog' followed by a number, 5 or more times in it"
~(([A-Za-z])+),lines without a letter
((dog)&([A-Za-z])).*([a-z]).*,lines having the string 'dog' and a letter preceding a lower-case letter
"~((([a-z])(.*)){6,})","lines not starting with lower-case letter, 6 or more times"
((.*)([AEIOUaeiou]))*,"lines ending with only a vowel, zero or more times"
(([a-z])&(.)).*(([A-Za-z])+).*,lines with a lower-case letter and character before letter at least once
(~([A-Z]))|(([A-Za-z])(.*)),lines no having a capital letter
(.).*(([AEIOUaeiou])&([0-9])).*,lines with a character before vowel and number
(.*[A-Za-z].*)|((dog)|([AEIOUaeiou])|(truck)),"lines which are containing a letter or either the string 'dog', a vowel, or the string 'truck'"
(\b(dog).*([AEIOUaeiou]).*\b)+,lines with words with the string 'dog' before a vowel at least once in them
"(([AEIOUaeiou])|([A-Z])){3,}",lines that have a vowel or capital letter
((.*)([0-9])).*(([A-Z])&([a-z])).*,lines that end with a number followed by a capital letter and a lower-case letter
(([A-Za-z])|(dog)|(truck)).*([A-Z]).*,"lines with either a letter, the string 'dog', or the string 'truck' followed by a capital letter"
"(([AEIOUaeiou]){5,}).*(.*[0-9].*).*",lines with a vowel 5 times before a number
~(([a-z])&(dog)),lines without a lower-case letter or string 'dog'
"~(((.*)([a-z])){2,})","lines not ending with lower-case letter, 2 or more times"
([A-Za-z].*[AEIOUaeiou].*).*([a-z]).*,"lines with a letter, followed by a vowel, and then a lower-case letter"
"~((([0-9])(.*)){3,})","lines which are not starting with a number, 3 or more times"
([a-z]).*((dog)|(.)).*,lines with a lower-case letter before string 'dog' or character
.*(dog)&([A-Za-z])&([A-Z]).*,lines with the string 'dog' and capital letter
~(([A-Z])|(.)|([0-9])),"lines without a capital letter, a character, or a number"
\b([0-9])|(.)|([A-Za-z])\b,"lines having words with either a number, a character or a letter"
([0-9])*,lines with number zero times
(.*)((.)|([A-Za-z])),lines that end with a letter or character
((.)|(dog)|([0-9])).*([AEIOUaeiou]).*,"Items with either 'dog', a numeral, or a character in front of a vowel."
"(dog.*..*){7,}",lines that contain 7 or more times the string 'dog' followed by a charactere
([A-Z]).*([AEIOUaeiou].*dog.*).*,"The lines that have a capital letter, followed by a vowel, and then followed by the string 'dog'"
.*([A-Z])|(.)|(dog).*,"lines with a capital letter, character, or the string 'dog'"
([A-Za-z].*[A-Z].*).*(dog).*,lines in which a capital letter appears between a letter and the string 'dog'
~(([A-Za-z])&((dog)|(truck))),lines not having a letter and not the string 'dog' or string 'truck'
.*(dog)&([0-9])&(truck).*,"lines which have the string 'dog', a number, and the string 'truck'"
.*([A-Za-z])&([A-Z]).*,lines containing one capital letter and one letter
~((.*dog.*)&([a-z])),lines with the string 'dog' and not a lower-case letter
\b([0-9])|(dog)|(truck)\b,"lines having words with a number, the string 'dog', or the string 'truck'"
((dog)*).*((truck)|([a-z])).*,lines with zero or more of the string 'dog' before the string 'truck or a lower-case letter
"((dog)|((truck)(.*))){4,}","lines with string 'dog' or starting with string 'truck', 4 or more times"
(..*dog.*).*([a-z]).*,lines with a character followed by the string 'dog' before a lower-case letter in them
(.*)((dog.*[AEIOUaeiou].*)|(truck)),lines ending in the string 'dog' before a vowel or string 'truck'
((([0-9])(.*))+).*([AEIOUaeiou]).*,lines starting with number at least once before vowel
([AEIOUaeiou]).*(([0-9])|(.)|(dog)).*,"lines with a vowel before a number, character, or string 'dog'"
((.)|(dog)|(truck)).*([AEIOUaeiou]).*,"lines having either a character, string 'dog', or string 'truck' before vowel"
(.*)((dog.*truck.*)+),lines that at least have the string 'dog' followed by 'truck'
"([A-Z].*[AEIOUaeiou].*){6,}",lines with 6 or more of a capital letter before a vowel
(.*)((([AEIOUaeiou])&([a-z]))|([A-Za-z])),lines that end with a letter or a vowel and a lower-case letter
(.*)(\b(dog).*([0-9]).*\b),lines finishing with the string 'dog' followed by a number
([A-Za-z].*[A-Z].*).*([0-9]).*,lines with a letter before capital letter then number
"\b([a-z]){3,}\b",lines containing three or more lower-case letters
"([A-Z]){7,}",lines containing 7 or more capital letters
"(([A-Za-z])|([a-z])){3,}",lines in which there is a small letter that is seen a minimum of 3 times or higher
(([A-Za-z])&(dog)&([AEIOUaeiou])).*(.).*,"lines that have a letter, the word 'dog',, and a vowel followed by a character"
"((dog)|([AEIOUaeiou])){2,}",lines containing the string 'dog' or a vowel at least twice
((([AEIOUaeiou]).*([A-Z]).*)|([A-Za-z]))+,Lines with vowel before capital letter or letter at least once
(([AEIOUaeiou])+).*([a-z]).*,lines with 1 or more vowel before a lower-case letter
(.*[AEIOUaeiou].*dog.*.*)*,lines without a vowel after the string 'dog
.*\b[A-Z].*dog.*\b.*,lines that have words with the word 'dog' following a capital letter
"((dog)|([0-9])){3,}",lines with 'dog' or a number 3 times
(((.).*(dog).*)|([a-z]))*,lines with or without a character before either the string 'dog' or a lower-case letter
"([AEIOUaeiou].*[0-9].*){7,}","lines with a vowel followed by a number, 7 or more times in them"
"~(\b(dog){5,}\b)","lines which do not have words with the string 'dog', 5 or more times"
(([A-Z])*)&(~([a-z])),lines with zero or more capital letter without a lower-case letter
(([A-Za-z])|(dog)).*([AEIOUaeiou]).*,lines with a letter or string 'dog' before a vowel
(([A-Za-z])+).*([a-z].*..*).*,lines with a letter before a lower-case letter then character
((dog)&([A-Za-z])&([AEIOUaeiou])).*(truck).*,"lines containing the word ""dog"", a letter, and the word ""truck"" with a vowel before"
(([A-Z])|([a-z])|(.)).*(dog).*,Items with 'dog' following a letter or a character.
"(([AEIOUaeiou]){3,}).*([0-9]).*",Items with a vowel at least three times preceding a numeral.
.*([AEIOUaeiou])|(dog)|([a-z]).*,"lines with a vowel, the string 'dog', or a lower-case letter"
(.*)(.*([a-z])&([AEIOUaeiou])&(.).*),"Items terminating with a character, a vowel, or a small letter."
\b~(([a-z]).*([AEIOUaeiou]).*)\b,lines with words that don't have a lower-case letter before a vowel in them
((.*)([A-Za-z])).*([A-Z]).*,lines with a letter followed by a capital letter
~(([0-9])|([AEIOUaeiou])|(dog)),"lines without a number, a vowel, or the string 'dog'"
"((.*)(dog)){5,}",lines only containing 5 or more of the string 'dog'
(dog.*[A-Za-z].*)*,"lines with 'dog' before a letter, zero or more times"
(.*[a-z].*).*(.).*,lines with a lower-case letter before character
(.*(.*)([a-z]).*)+,lines containing a lower-case letter once
